job title,location,company name,job experience
Electrical Sales Engineer,"6th of October, Giza, Egypt",MAS for Engineering and Trading Co. -,"Full Time
On-site
Entry Level · 0 - 4 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Communication
· Sales
· technical"
Sustainability & Energy Management Engineer,"Bourj Alarab, Alexandria, Egypt",ABCO Group -,"Full Time
On-site
Entry Level · 0 - 2 Yrs of Exp · males_preferred · R&D/Science · Quality · Engineering - Other ·
Engineering
· Environmental Science
· Energy Management
·
Chemical Engineering
· sustainability
· CSR
· Quality Control"
Mechanical Production Engineer,"Badr City, Cairo, Egypt",Confidential -,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical
· 3D
· Design
· Manufacturing
·
Mechanical Engineering
· Mechanical
· technical
·
Engineering"
Electrical and Mechanical Tendering/Design Engineers – Electrical Switchgear,"6th of October, Giza, Egypt",ARC Technologies -,"Full Time
On-site
Experienced · 3 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other
· Design
· AutoCAD
·
Engineering
· Manufacturing
·
Mechanical Engineering
· Mechanical
· English"
Industrial Engineer,"10th of Ramadan City, Cairo, Egypt",Jade Textile Egypt -,"Full Time
On-site
Senior Management · 3 - 12 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other
· Communication skills
· Lean manufacturing
· Industry
·
Industrial Engineering
· Industrial
·
Engineering
· Production"
Sales Engineer,"Sheikh Zayed, Giza, Egypt",365 Ecology -,"Full Time
On-site
Experienced · 4 - 7 Yrs of Exp · Sales/Retail · Engineering - Telecom/Technology ·
Engineering
· Sales
· sales skills
· Security
· Communication
· Presentation Skills
· Sales Target"
Architectural Technical office Engineer,"Baltim, Kafr Alsheikh, Egypt",Delta Capital for Urban Development -,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture
· Architecture
·
Architecture Engineering
· AutoCAD
· computer
· computer software
· Construction
·
Engineering
· Microsoft Office
· Revit"
Senior Structure Design Engineer.,"Cairo, Egypt",Mashareq -,"Full Time
On-site
Experienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art
· Civil
· Design
· Drawings
·
Engineering
· Shop Drawings
· Structure
· structure design"
Electrical Maintenance Engineer,"Ain Sokhna, Suez, Egypt",Confidential -,"Full Time
On-site
Experienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical ·
Electrical Engineering
·
Engineering
· Industry
· Maintenance
· Manufacturing
· Factories
· English"
Mechanical Engineer - Hurghada,"Hurghada, Red Sea, Egypt",Seldar Egypt -,"Full Time
On-site
Experienced · 2+ Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical ·
Mechanical Engineering
· Maintenance
· HVAC
· Cleanroom Design
· Installation
· Panel Circuit
· Load Center Balancing"
